# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session imported from “Hotspot+Block1.txt”	1	PSC	128.0000	128.0000	199.4639	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:02:47.005	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 2	Session imported from “Hotspot+Block1.txt”	2	Sample 1	160.7903	93.3690	180.5423	-0.5894	0.6571	0.4699	-0.6972	-0.7076	0.1149	0.4080	-0.2599	0.8752	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:05:19.068	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 3	Session imported from “Hotspot+Block1.txt”	3	Sample 1	165.3356	102.1827	181.3152	-0.5594	0.6673	0.4916	-0.6896	-0.7038	0.1707	0.4599	-0.2435	0.8539	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:05:33.019	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 4	Session imported from “Hotspot+Block1.txt”	4	Sample 3	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:05:43.549	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 5	Session imported from “Hotspot+Block1.txt”	5	Sample 3	158.3259	112.3937	188.0041	-0.5370	0.7159	0.4462	-0.7249	-0.6621	0.1899	0.4314	-0.2215	0.8746	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:05:59.642	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	7.9945
Sample 6	Session imported from “Hotspot+Block1.txt”	6	Sample 3	176.0967	112.0621	176.3868	-0.4941	0.7128	0.4978	-0.7012	-0.6652	0.2565	0.5140	-0.2223	0.8285	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:06:09.060	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	29.6940
Sample 7	Session imported from “Hotspot+Block1.txt”	7	Sample 6	168.3155	104.4255	179.7819	-0.3990	0.7118	0.5781	-0.7563	-0.6119	0.2314	0.5184	-0.3449	0.7825	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:06:31.638	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 8	Session imported from “Hotspot+Block1.txt”	8	Sample 6	182.2218	102.5363	166.3920	-0.3951	0.6784	0.6194	-0.7289	-0.6419	0.2380	0.5591	-0.3575	0.7481	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:06:38.703	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	6.8525
Sample 9	Session imported from “Hotspot+Block1.txt”	9	Sample 6	186.5788	112.9883	165.1999	-0.4049	0.6894	0.6007	-0.6897	-0.6615	0.2943	0.6003	-0.2951	0.7433	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:06:48.179	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	5.7104
Sample 10	Session imported from “Hotspot+Block1.txt”	10	Sample 6	185.1346	121.1692	170.4416	-0.4093	0.7044	0.5799	-0.6935	-0.6532	0.3039	0.5929	-0.2778	0.7559	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-23	10:06:58.710	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	14.8470
