# Version: 12
# Coordinate system: Brainsight
# Created by: Brainsight 2.5b3
# X=right->left, Y=anterior->posterior, Z=inferior->superior
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Sample Name	Session Name	Index	Assoc. Target	Loc. X	Loc. Y	Loc. Z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2	Dist. to Target	Target Error	Angular Error	Twist Error	Stim. Power A	Stim. Pulse Interval	Stim. Power B	Date	Time	Creation Cause	Crosshairs Driver	Offset	Comment	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 798	Session imported from “Block4.txt”	798	PMCtarget_1.5mm	182.4904	121.9989	173.5044	-0.7048	0.0393	0.7083	-0.2189	-0.9618	-0.1645	0.6748	-0.2710	0.6865	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:45.466	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 799	Session imported from “Block4.txt”	799	PMCtarget_1.5mm	182.5560	122.1679	173.5045	-0.7016	0.0421	0.7113	-0.2224	-0.9613	-0.1625	0.6770	-0.2722	0.6838	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:45.968	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	19.4153
Sample 800	Session imported from “Block4.txt”	800	PMCtarget_1.5mm	182.5549	122.2005	173.5167	-0.7012	0.0420	0.7117	-0.2223	-0.9614	-0.1623	0.6774	-0.2720	0.6835	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:46.469	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	20.5574
Sample 801	Session imported from “Block4.txt”	801	PMCtarget_1.5mm	182.6178	122.1255	173.4359	-0.6996	0.0420	0.7133	-0.2230	-0.9613	-0.1621	0.6789	-0.2725	0.6819	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:46.971	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	21.6995
Sample 802	Session imported from “Block4.txt”	802	PMCtarget_1.5mm	182.5876	122.5069	173.5926	-0.6975	0.0390	0.7155	-0.2250	-0.9599	-0.1670	0.6803	-0.2775	0.6783	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:47.570	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	12.5629
Sample 803	Session imported from “Block4.txt”	803	PMCtarget_1.5mm	182.4980	122.3506	173.6178	-0.6996	0.0402	0.7134	-0.2235	-0.9606	-0.1651	0.6787	-0.2750	0.6810	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:48.169	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	11.4208
Sample 804	Session imported from “Block4.txt”	804	PMCtarget_1.5mm	182.6725	122.3661	173.4700	-0.6974	0.0388	0.7156	-0.2235	-0.9605	-0.1658	0.6809	-0.2756	0.6785	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:48.671	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	17.1312
Sample 805	Session imported from “Block4.txt”	805	PMCtarget_1.5mm	182.6854	122.4372	173.4830	-0.6944	0.0361	0.7186	-0.2236	-0.9601	-0.1679	0.6839	-0.2773	0.6748	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:49.270	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	26.2678
Sample 806	Session imported from “Block4.txt”	806	PMCtarget_1.5mm	182.6418	122.3307	173.4849	-0.6993	0.0344	0.7140	-0.2160	-0.9623	-0.1652	0.6814	-0.2698	0.6804	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:59.360	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	18.2732
Sample 807	Session imported from “Block4.txt”	807	PMCtarget_1.5mm	182.7544	122.4418	173.4241	-0.6990	0.0339	0.7144	-0.2166	-0.9620	-0.1663	0.6816	-0.2710	0.6797	(null)	(null)	(null)	(null)	(null)	(null)	(null)	2020-10-30	11:42:59.862	TTL1	AP Coil	0.0000	(null)	1	10.0000	90.0000	14.8470
